gene	Locus tag	in cgMLST ?	Length	EC number	KO number	Gene Name	gene_name_figure	Function	N_allele	CDS	Pseudogene	missing	% presence	% pseudogenes	gene_tmp	order
SEHA_RS02130_1	SEHA_RS02130	accessory_gene	468				SEHA_RS02130	hypothetical protein	9	97	0	3047	3%	0%	SEHA_RS02130	49
SAL_EA9932AA_02540_1	SAL_EA9932AA_02540	accessory_gene	444				rhs_SAL_EA9932AA_02540	type IV secretion protein Rhs	16	114	2	3028	4%	2%	SAL_EA9932AA_02540	50
SPA_RS12515_1	SPA_RS12515	accessory_gene	312				SPA_RS12515	hypothetical protein	5	72	0	3072	2%	0%	SPA_RS12515	51
SCH_RS01475_1	SCH_RS01475	accessory_gene	309				SCH_RS01475	hypothetical protein	9	132	0	3012	4%	0%	SCH_RS01475	53
STMMW_03041_1	STMMW_03041	pseudogene	276		K19048	symE	STMMW_03041	hypothetical protein	154	762	693	1689	46%	48%	STMMW_03041	54
SCH_RS01490_1	SCH_RS01490	pseudogene	468				SCH_RS01490	exported pathogenicity island protein	145	1045	133	1966	37%	11%	SCH_RS01490	55
STMMW_03051_1	STMMW_03051	pseudogene	309				STMMW_03051	conserved hypothetical pathogenicity island protein	215	317	1734	1093	65%	85%	STMMW_03051	56
T_RS13015_1	T_RS13015	pseudogene	495				safA_T_RS13015	Saf-pilin pilus formation protein SafA	233	685	52	2407	23%	7%	T_RS13015	58
SNSL254_RS02590_1	SNSL254_RS02590	pseudogene	498				safA_SNSL254_RS02590	Saf-pilin pilus formation protein SafA	370	860	201	2083	34%	19%	SNSL254_RS02590	59
STMMW_03091_1	STMMW_03091	accessory_gene	513			safA	safA_STMMW_03091	Saf-pilin pilus formation protein SafA	323	1377	40	1727	45%	3%	STMMW_03091	60
STMMW_03101_1	STMMW_03101	accessory_gene	714			safB	safB	gram-negative pili assembly chaperone	344	2471	44	629	80%	2%	STMMW_03101	61
STMMW_03111_1	STMMW_03111	accessory_gene	2511		K07347	safC	safC	salmonella atypical fimbria outer membrane usher (SafC)	794	2457	47	640	80%	2%	STMMW_03111	62
STMMW_03121_1	STMMW_03121	accessory_gene	471			safD	safD	fimbrial structural subunit	302	2494	34	616	80%	1%	STMMW_03121	63
STMMW_03131_1	STMMW_03131	accessory_gene	822			ybeJ	STMMW_03131	putative xylanase/chitin deacetylase	337	2446	76	622	80%	3%	STMMW_03131	64
STMMW_03132_1	STMMW_03132	accessory_gene	216				STMMW_03132	transcription regulator	91	2515	20	609	81%	1%	STMMW_03132	65
STMMW_03133_1	STMMW_03133	pseudogene	132				STMMW_03133	transposase	86	2246	295	603	81%	12%	STMMW_03133	66
STMMW_03151_1	STMMW_03151	accessory_gene	948			sinR	sinR	d	388	2461	77	606	81%	3%	STMMW_03151	67
T_RS12960_1	T_RS12960	accessory_gene	378				T_RS12960	transposase	112	1070	38	2036	35%	3%	T_RS12960	68
T_RS12955_1	T_RS12955	accessory_gene	711				tcfA	putative fimbrial protein TcfA	132	1063	12	2069	34%	1%	T_RS12955	69
T_RS12950_1	T_RS12950	accessory_gene	576				tcfB	putative fimbrial subunit TcfB	76	1083	11	2050	35%	1%	T_RS12950	70
T_RS12945_1	T_RS12945	accessory_gene	2688				tcfC	fimbrial outer membrane usher protein TcfC	340	1028	55	2061	34%	5%	T_RS12945	71
T_RS12940_1	T_RS12940	accessory_gene	1080				tcfD	putative fimbrial protein TcfD	205	1101	6	2037	35%	1%	T_RS12940	72
T_RS12935_1	T_RS12935	accessory_gene	456		K05800	ybaO	tinR	transcriptional regulator	113	1104	54	1986	37%	5%	T_RS12935	73
T_RS12930_1	T_RS12930	accessory_gene	618				tioA	TioA protein	138	1134	44	1966	37%	4%	T_RS12930	74
STMMW_03171_1	STMMW_03171	cgMLST	720			pagN	STMMW_03171	outer membrane adhesin	424	3127	9	8	100%	0%	STMMW_03171	75
SCH_RS03095_1	SCH_RS03095	accessory_gene	1209				SCH_RS03095	transposase	9	67	1	3076	2%	1%	SCH_RS03095	76
STMMW_03181_1	STMMW_03181	cgMLST	408			sciZ	STMMW_03181	VirG	212	3129	15	0	100%	0%	STMMW_03181	77
