Locus tag,in cgMLST ?,Length,EC number,KO number,Gene Name,Function,N_allele,CDS,Pseudogene,missing,% presence,% pseudogenes,,,,
STMMW_00131,cgMLST,948,,,,LysR family transcriptional regulator,510,3117,21,6,100%,1%,,,,
STMMW_00141,cgMLST,345,,,,bacteriophage protein,206,3077,67,0,100%,2%,,,,
STMMW_00151,cgMLST,534,,,,glycosyl hydrolase lysozyme (N-acetylmuramidase),336,3125,16,3,100%,1%,,,,
STMMW_00161,cgMLST,444,,,,membrane protein,275,3105,32,7,100%,1%,,,,
STMMW_00171,cgMLST,2100,,,chiA,chitinase,879,2999,119,26,99%,4%,,,,
STMMW_00191,cgMLST,705,,,,cytoplasmic protein,438,3065,63,16,99%,2%,,,,
STMMW_00361,cgMLST,1494,,,,arylsulfatase,669,3038,100,6,100%,3%,,,,
STMMW_00401,cgMLST,1167,,K03313,nhaA,Na+/H+ antiporter NhaA,615,3143,0,1,100%,0%,,,,
STMMW_00441,cgMLST,264,,K02968,rpsT,30S ribosomal protein S20,53,3144,0,0,100%,0%,,,,
STMMW_00451,cgMLST,216,,,yaaY,hypothetical protein,76,3059,84,1,100%,3%,,,,
STMMW_00461,cgMLST,939,,K11753,ribF,bifunctional riboflavin kinase/FMN adenylyltransferase,412,3136,8,0,100%,0%,,,,
STMMW_00471,cgMLST,2835,6.1.1.5,K01870,ileS,isoleucine tRNA synthetase,900,3142,0,2,100%,0%,,,,
STMMW_00481,cgMLST,501,3.4.23.36,K03101,lspA,signal peptidase II,328,2966,171,7,100%,5%,,,,
STMMW_00491,cgMLST,450,5.2.1.8,K03774,fkpB,probable FkbB-type 16 kD peptidyl-prolyl cis-trans isomerase,182,3142,0,2,100%,0%,,,,
STMMW_00501,cgMLST,951,1.17.7.4,K03527,ispH,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,538,3142,0,2,100%,0%,,,,
STMMW_00651,cgMLST,822,1.17.1.8,K00215,dapB,4-hydroxy-tetrahydrodipicolinate reductase,504,3144,0,0,100%,0%,,,,
STMMW_00681,cgMLST,1149,6.3.5.5,K01956,carA,carbamoyl phosphate synthase small subunit,676,3144,0,0,100%,0%,,,,
STMMW_00701,cgMLST,396,,K08277,caiF,transcriptional regulator,177,3135,4,5,100%,0%,,,,
STMMW_00721,cgMLST,786,4.2.1.149,K08299,caiD,carnitinyl-CoA dehydratase,590,3113,22,9,100%,1%,,,,
STMMW_00731,cgMLST,1554,6.2.1.-,K02182,caiC,ATP-dependent acyl-CoA ligase,803,3098,36,10,100%,1%,,,,
STMMW_00741,cgMLST,1218,2.8.3.21,K08298,caiB,L-carnitine CoA-transferase,687,3127,10,7,100%,0%,,,,
STMMW_00751,cgMLST,1143,1.3.99.-,K08297,caiA,crotonobetainyl-CoA dehydrogenase,596,3138,0,6,100%,0%,,,,
STMMW_00761,cgMLST,1518,,K05245,caiT,L-carnitine:gamma-butyrobetaine antiporter,720,3107,29,8,100%,1%,,,,
STMMW_00781,cgMLST,942,,K03522,fixB,electron transfer flavoprotein subunit alpha FixB,648,3137,1,6,100%,0%,,,,
STMMW_00791,cgMLST,1287,1.5.5.-,K00313,fixC,oxidoreductase FixC,754,3132,5,7,100%,0%,,,,
STMMW_00801,cgMLST,288,,K03855,fixX,ferredoxin FixX,227,3143,0,1,100%,0%,,,,
STMMW_00821,cgMLST,264,,,,conserved domain protein,133,3112,19,13,100%,1%,,,,
STMMW_00901,cgMLST,531,,K11746,yabF,potassium transporter KefF,360,3112,30,2,100%,1%,,,,
STMMW_00911,cgMLST,1863,,K11745,kefC,potassium transporter KefC,881,3098,42,4,100%,1%,,,,
STMMW_00921,cgMLST,480,1.5.1.3,K00287,folA,dihydrofolate reductase,238,3144,0,0,100%,0%,,,,
STMMW_00931,cgMLST,849,3.6.1.41,K01525,apaH,bis(5'-nucleosyl)-tetraphosphatase (symmetrical),509,3141,3,0,100%,0%,,,,
STMMW_00941,cgMLST,378,,K06195,apaG,Co2+/Mg2+ efflux protein ApaG,149,3144,0,0,100%,0%,,,,
STMMW_00951,cgMLST,822,2.1.1.182,K02528,ksgA,ribosomal RNA small subunit methyltransferase A,344,3142,2,0,100%,0%,,,,
STMMW_00961,cgMLST,990,1.1.1.262,K00097,pdxAa,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,563,3136,1,7,100%,0%,,,,
STMMW_00971,cgMLST,1287,5.2.1.8,K03771,surA,peptidyl-prolyl cis-trans isomerase,531,3143,1,0,100%,0%,,,,
STMMW_00981,cgMLST,2361,,K04744,imp,LPS assembly protein LptD,779,3143,0,1,100%,0%,,,,
STMMW_00991,cgMLST,813,,K05801,djlA,molecular chaperone DjlA,395,3142,1,1,100%,0%,,,,
STMMW_01001,cgMLST,660,,K06177,rluA,bifunctional tRNA pseudouridine(32) synthase TrmQ/ribosomal large subunit pseudouridine synthase RluA,413,3141,2,1,100%,0%,,,,
STMMW_01011,cgMLST,2907,3.6.4.-,K03580,hepA,RNA polymerase-binding ATPase,909,3139,1,4,100%,0%,,,,
STMMW_01021,cgMLST,2352,2.7.7.7,K02336,polB,DNA polymerase II,863,3119,22,3,100%,1%,,,,
STMMW_01071,cgMLST,696,5.1.3.4,K01786,araD,L-ribulose-5-phosphate 4-epimerase UlaF,516,3141,3,0,100%,0%,,,,
STMMW_01081,cgMLST,1503,5.3.1.4,K01804,araA,L-arabinose isomerase,742,3130,5,9,100%,0%,,,,
STMMW_01091,cgMLST,1710,2.7.1.16,K00853,araB,ribulokinase,825,3099,33,12,100%,1%,,,,
STMMW_01101,cgMLST,846,,K02099,araC,arabinose operon regulatory protein,500,3120,15,9,100%,0%,,,,
STMMW_01111,cgMLST,768,,,yabI,DedA family inner membrane protein YabI,461,3129,3,12,100%,0%,,,,
STMMW_01131,cgMLST,1611,,K02063,thiP,thiamine/thiamine pyrophosphate ABC transporter permease ThiP,834,3134,5,5,100%,0%,,,,
STMMW_01141,cgMLST,984,,K02064,tbpA,thiamine transporter substrate binding subunit,592,3142,2,0,100%,0%,,,,
STMMW_01151,cgMLST,1659,,K11925,yabN,transcriptional regulator SgrR,765,3132,12,0,100%,0%,,,,
STMMW_01152,cgMLST,123,,,sgrT,inhibitor of glucose uptake transporter,96,3131,13,0,100%,0%,,,,
STMMW_01161,cgMLST,606,,K01704,leuD,3-isopropylmalate dehydratase small subunit,484,3144,0,0,100%,0%,,,,
STMMW_01171,cgMLST,1401,,K01703,leuC,3-isopropylmalate dehydratase large subunit,706,3140,0,4,100%,0%,,,,
STMMW_01181,cgMLST,1092,1.1.1.85,K00052,leuB,3-isopropylmalate dehydrogenase,615,3144,0,0,100%,0%,,,,
STMMW_01191,cgMLST,1572,2.3.3.13,K01649,leuA,2-isopropylmalate synthase,724,3134,9,1,100%,0%,,,,
STMMW_01201,cgMLST,87,,,leuL,leu operon leader peptide,36,3144,0,0,100%,0%,,,,
STMMW_01211,cgMLST,945,,K05798,leuO,putative transcriptional activator for LeuABCD operon,404,3116,24,4,100%,1%,,,,
STMMW_01221,cgMLST,1662,2.2.1.6,K01652,ilvI,acetolactate synthase isozyme 3 large subunit,771,3118,23,3,100%,1%,,,,
STMMW_01231,cgMLST,492,2.2.1.6,K01653,ilvH,acetolactate synthase isozyme III small subunit,237,3097,47,0,100%,1%,,,,
STMMW_01241,cgMLST,1005,,K03435,fruR,DNA-binding transcriptional regulator FruR,463,3143,0,1,100%,0%,,,,
STMMW_01251,cgMLST,459,,K03925,mraZ,division/cell wall cluster transcriptional repressor MraZ,110,3144,0,0,100%,0%,,,,
STMMW_01261,cgMLST,942,2.1.1.199,K03438,mraW,ribosomal RNA small subunit methyltransferase H,445,3143,1,0,100%,0%,,,,
STMMW_01271,cgMLST,366,,K03586,ftsL,cell division protein FtsL,114,3144,0,0,100%,0%,,,,
STMMW_01291,cgMLST,1488,6.3.2.13,K01928,murE,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",665,3144,0,0,100%,0%,,,,
STMMW_01301,cgMLST,1359,6.3.2.10,K01929,murF,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,678,3144,0,0,100%,0%,,,,
STMMW_01311,cgMLST,1083,2.7.8.13,K01000,mraY,phospho-N-acetylmuramoyl-pentapeptide-transferase,503,3144,0,0,100%,0%,,,,
STMMW_01321,cgMLST,1317,6.3.2.9,K01925,murD,UDP-N-acetylmuramoylalanine--D-glutamate ligase,731,3141,0,3,100%,0%,,,,
STMMW_01331,cgMLST,1158,,K03588,ftsW,flippase,490,3144,0,0,100%,0%,,,,
STMMW_01341,cgMLST,1068,2.4.1.227,K02563,murG,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,642,3137,1,6,100%,0%,,,,
STMMW_01351,cgMLST,1476,6.3.2.8,K01924,murC,UDP-N-acetylmuramate--L-alanine ligase,636,3142,0,2,100%,0%,,,,
STMMW_01361,cgMLST,921,6.3.2.4,K01921,ddl,D-alanine--D-alanine ligase B,509,3135,9,0,100%,0%,,,,
STMMW_01371,cgMLST,831,,K03589,ftsQ,cell division protein FtsQ,251,3142,2,0,100%,0%,,,,
STMMW_01381,cgMLST,1263,,K03590,ftsA,cell division protein FtsA,421,3143,0,1,100%,0%,,,,
STMMW_01391,cgMLST,1152,,K03531,ftsZ,cell division protein FtsZ,586,3144,0,0,100%,0%,,,,
STMMW_01401,cgMLST,918,3.5.1.108,K02535,lpxC,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,327,3144,0,0,100%,0%,,,,
STMMW_01411,cgMLST,429,,K13301,yacA,SecA regulator SecM,220,3144,0,0,100%,0%,,,,
STMMW_01421,cgMLST,2706,,K03070,secA,preprotein translocase subunit SecA,846,3144,0,0,100%,0%,,,,
STMMW_01431,cgMLST,396,3.6.1.55,K03574,mutT,nucleoside triphosphate pyrophosphohydrolase,282,3144,0,0,100%,0%,,,,
STMMW_01441,cgMLST,192,,K09862,yacG,DNA gyrase inhibitor YacG,96,3142,1,1,100%,0%,,,,
STMMW_01451,cgMLST,744,,K18778,yacF,cell division protein ZapD,382,3144,0,0,100%,0%,,,,
STMMW_01461,cgMLST,621,2.7.1.24,K00859,coaE,dephospho-CoA kinase,301,3142,2,0,100%,0%,,,,
STMMW_01471,cgMLST,1044,1.7.1.7,K00364,guaC,guanosine monophosphate reductase,536,3142,2,0,100%,0%,,,,
STMMW_01481,cgMLST,1203,,K02505,pilC,type IV pilin biogenesis protein,726,3117,22,5,100%,1%,,,,
STMMW_01491,cgMLST,1386,,K02504,pilB,type II secretion system protein GspE,778,3096,43,5,100%,1%,,,,
STMMW_01501,cgMLST,438,,K02682,pilA,type IV pilin PilA,265,3135,8,1,100%,0%,,,,
STMMW_01511,cgMLST,747,2.4.2.19,K00767,nadC,nicotinate-nucleotide pyrophosphorylase [carboxylating],452,3141,3,0,100%,0%,,,,
STMMW_01521,cgMLST,564,,K03806,ampD,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD",253,3137,6,1,100%,0%,,,,
STMMW_01531,cgMLST,855,,K03807,ampE,transcriptional regulator,539,3137,4,3,100%,0%,,,,
STMMW_01541,cgMLST,951,,,,alpha-N-arabinofuranosidase 2,591,3111,15,18,99%,0%,,,,
STMMW_01551,cgMLST,1407,,,,GPH family transporter,715,3071,54,19,99%,2%,,,,
STMMW_01571,cgMLST,765,,K05799,pdhR,PdhR family transcriptional regulator,338,3139,5,0,100%,0%,,,,
STMMW_01581,cgMLST,2664,1.2.4.1,K00163,aceE,"pyruvate dehydrogenase (acetyl-transferring), homodimeric type",846,3144,0,0,100%,0%,,,,
STMMW_01591,cgMLST,1890,2.3.1.12,K00627,aceF,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase,802,3087,0,57,98%,0%,,,,
STMMW_01601,cgMLST,1425,1.8.1.4,K00382,lpdA,dihydrolipoyl dehydrogenase,675,3143,0,1,100%,0%,,,,
STMMW_01611,cgMLST,285,,,,outer membrane protein,249,3114,7,23,99%,0%,,,,
STMMW_01621,cgMLST,792,,,,putative secreted protein,492,3095,16,33,99%,1%,,,,
STMMW_01641,cgMLST,2598,,K01682,acnB,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,967,3142,0,2,100%,0%,,,,
STMMW_01661,cgMLST,363,,K09910,yacL,putative cytoplasmic protein,205,3131,11,2,100%,0%,,,,
STMMW_01711,cgMLST,795,4.1.1.50,K01611,speD,S-adenosylmethionine decarboxylase proenzyme,452,3130,2,12,100%,0%,,,,
STMMW_01721,cgMLST,861,2.5.1.16,K00797,speE,polyamine aminopropyltransferase,575,3142,0,2,100%,0%,,,,
STMMW_01731,cgMLST,348,,,yacC,putative chaperone lipoprotein YacC,141,3142,0,2,100%,0%,,,,
STMMW_01741,cgMLST,1611,,K14588,cueO,Blue copper oxidase CueO precursor,816,3135,7,2,100%,0%,,,,
STMMW_01751,cgMLST,2391,1.1.5.2,K00117,gcd,glucose dehydrogenase,977,3124,14,6,100%,0%,,,,
STMMW_01761,cgMLST,537,2.4.2.8,K00760,hpt,hypoxanthine phosphoribosyltransferase,315,3144,0,0,100%,0%,,,,
STMMW_01771,cgMLST,663,4.2.1.1,K01673,yadF,putative carbonic anhydrase,229,3144,0,0,100%,0%,,,,
STMMW_01781,cgMLST,927,,K01990,yadG,"ABC-type multidrug transport system, ATPase component",612,3136,8,0,100%,0%,,,,
STMMW_01791,cgMLST,771,,K01992,yadH,ABC transporter permease,555,3139,4,1,100%,0%,,,,
STMMW_01841,cgMLST,441,,,yadI,PTS sugar transporter subunit IIA,290,3124,16,4,100%,1%,,,,
STMMW_01851,cgMLST,1230,,,yadE,polysaccharide deacetylase,739,3122,17,5,100%,1%,,,,
STMMW_01861,cgMLST,381,4.1.1.11,K01579,panD,aspartate 1-decarboxylase,210,3142,2,0,100%,0%,,,,
STMMW_01881,cgMLST,792,2.1.2.11,K00606,panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,582,3140,1,3,100%,0%,,,,
STMMW_01891,cgMLST,480,2.7.6.3,K00950,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase,360,3101,30,13,100%,1%,,,,
STMMW_01901,cgMLST,1419,2.7.7.19,K00970,pcnB,polynucleotide adenylyltransferase PcnB,687,3138,5,1,100%,0%,,,,
STMMW_01911,cgMLST,942,6.1.1.-,K01894,yadB,putative glutamyl t-RNA synthetase,577,3127,12,5,100%,0%,,,,
STMMW_01921,cgMLST,456,,K06204,dksA,RNA polymerase-binding transcription factor DksA,86,3143,1,0,100%,0%,,,,
STMMW_01931,cgMLST,705,,K06206,sfsA,DNA-binding transcriptional regulator,416,3139,5,0,100%,0%,,,,
STMMW_01941,cgMLST,531,6.5.1.-,K01975,ligT,2'-5' RNA ligase,457,3074,68,2,100%,2%,,,,
STMMW_01951,cgMLST,2475,3.6.4.13,K03579,hrpB,ATP-dependent RNA helicase HrpB,990,3125,9,10,100%,0%,,,,
STMMW_01961,cgMLST,2523,,K05365,mrcB,bifunctional glycosyl transferase/transpeptidase,893,3140,3,1,100%,0%,,,,
STMMW_01971,cgMLST,2190,,K02014,fhuA,ferrichrome outer membrane transporter,852,2983,145,16,99%,5%,,,,
STMMW_01981,cgMLST,798,3.6.3.34,K02013,fhuC,Ferric hydroxamate ABC transporter FhuC,587,3144,0,0,100%,0%,,,,
STMMW_01991,cgMLST,891,,K02016,fhuD,iron-hydroxamate transporter substrate-binding subunit,651,3142,0,2,100%,0%,,,,
STMMW_02081,cgMLST,1281,5.4.3.8,K01845,hemL,"glutamate-1-semialdehyde 2,1-aminomutase",762,3142,1,1,100%,0%,,,,
STMMW_02091,cgMLST,1422,,K03281,clcA,ClC family H(+)/Cl(-) exchange transporter,718,3138,2,4,100%,0%,,,,
STMMW_02101,cgMLST,390,,K15724,yadR,iron-sulfur cluster insertion protein ErpA,166,3071,73,0,100%,2%,,,,
STMMW_02121,cgMLST,801,,K06858,btuF,vitamin B12 ABC transporter substrate-binding protein BtuF,526,3141,3,0,100%,0%,,,,
STMMW_02131,cgMLST,699,3.2.2.9,K01243,mtn,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,458,3144,0,0,100%,0%,,,,
STMMW_02141,cgMLST,1518,3.1.5.1,K01129,dgt,deoxyguanosinetriphosphate triphosphohydrolase,671,3142,2,0,100%,0%,,,,
STMMW_02151,cgMLST,1428,3.4.21.107,K04771,htrA,periplasmic serine endoprotease DegP,641,3142,1,1,100%,0%,,,,
STMMW_02171,cgMLST,387,,,yaeH,hypothetical protein,130,3143,1,0,100%,0%,,,,
STMMW_02181,cgMLST,1302,,K08173,ydfJ,MFS transporter,710,2954,166,24,99%,5%,,,,
STMMW_02191,cgMLST,825,2.3.1.117,K00674,dapD,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",505,3144,0,0,100%,0%,,,,
STMMW_02201,cgMLST,2673,2.7.7.59,K00990,glnD,"UTP-GlnB uridylyltransferase, GlnD",892,3129,6,9,100%,0%,,,,
STMMW_02211,cgMLST,795,3.4.11.18,K01265,map,type I methionyl aminopeptidase,359,3143,0,1,100%,0%,,,,
STMMW_02221,cgMLST,726,,K02967,rpsB,30S ribosomal protein S2,206,3144,0,0,100%,0%,,,,
STMMW_02231,cgMLST,852,,K02357,tsf,Translation elongation factor Ts,309,3144,0,0,100%,0%,,,,
STMMW_02241,cgMLST,726,2.7.4.22,K09903,pyrH,UMP kinase,177,3144,0,0,100%,0%,,,,
STMMW_02251,cgMLST,558,,K02838,frr,ribosome recycling factor,162,3144,0,0,100%,0%,,,,
STMMW_02261,cgMLST,1197,1.1.1.267,K00099,dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,502,3144,0,0,100%,0%,,,,
STMMW_02271,cgMLST,759,2.5.1.31,K00806,uppS,"ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)",219,3143,0,1,100%,0%,,,,
STMMW_02281,cgMLST,858,2.7.7.41,K00981,cdsA,phosphatidate cytidylyltransferase,373,3144,0,0,100%,0%,,,,
STMMW_02291,cgMLST,1353,3.4.24.-,K11749,yaeL,regulator of sigma E protease,463,3143,1,0,100%,0%,,,,
STMMW_02301,cgMLST,2415,,K07277,yaeT,outer membrane protein assembly factor BamA,750,3143,0,1,100%,0%,,,,
STMMW_02311,cgMLST,486,,K06142,hlpA,outer membrane chaperone Skp,120,3144,0,0,100%,0%,,,,
STMMW_02321,cgMLST,1026,2.3.1.191,K02536,lpxD,UDP-3-O-(3-hydroxymyristoyl) glucosamine N-acyltransferase,375,3144,0,0,100%,0%,,,,
STMMW_02331,cgMLST,456,4.2.1.59,K02372,fabZ,beta-hydroxyacyl-ACP dehydratase,122,3144,0,0,100%,0%,,,,
STMMW_02341,cgMLST,789,2.3.1.129,K00677,lpxA,acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,328,3144,0,0,100%,0%,,,,
STMMW_02351,cgMLST,1149,2.4.1.182,K00748,lpxB,lipid-A-disaccharide synthase,644,3143,0,1,100%,0%,,,,
STMMW_02361,cgMLST,597,3.1.26.4,K03470,rnhB,ribonuclease HII,329,3142,0,2,100%,0%,,,,
STMMW_02371,cgMLST,3483,2.7.7.7,K02337,dnaE,DNA polymerase III subunit alpha,903,3117,0,27,99%,0%,,,,
STMMW_02381,cgMLST,960,6.4.1.2,K01962,accA,acetyl-CoA carboxylase carboxyltransferase subunit alpha,405,3144,0,0,100%,0%,,,,
STMMW_02411,cgMLST,390,,K08234,yaeR,lyase,227,3144,0,0,100%,0%,,,,
STMMW_02431,cgMLST,261,,K19000,rof,Rho-binding antiterminator,90,3144,0,0,100%,0%,,,,
STMMW_02441,cgMLST,219,,,yaeP,cytoplasmic protein,48,3137,1,6,100%,0%,,,,
STMMW_02451,cgMLST,546,,,yaeQ,YaeQ protein,375,3139,5,0,100%,0%,,,,
STMMW_02461,cgMLST,423,,K15034,yaeJ,aminoacyl-tRNA hydrolase,238,3138,6,0,100%,0%,,,,
STMMW_02471,cgMLST,702,,K06079,cutF,lipoporotein NlpE,469,3096,46,2,100%,1%,,,,
STMMW_02481,cgMLST,1719,6.1.1.15,K01881,proS,proline--tRNA ligase,711,3144,0,0,100%,0%,,,,
STMMW_02491,cgMLST,708,,,yaeB,tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase TsaA,387,3142,2,0,100%,0%,,,,
STMMW_02501,cgMLST,405,,K06080,rcsF,RcsF protein,155,3144,0,0,100%,0%,,,,
STMMW_02511,cgMLST,816,,K02073,metQ,DL-methionine transporter substrate-binding subunit,472,3144,0,0,100%,0%,,,,
STMMW_02521,cgMLST,654,,K02072,yaeE,methionine ABC transporter permease,384,3144,0,0,100%,0%,,,,
STMMW_02531,cgMLST,1032,,K02071,abc,putative ABC superfamily (atp_bind) transport system,522,3144,0,0,100%,0%,,,,
STMMW_02532,cgMLST,567,,K03273,yaeD,"D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase",346,3144,0,0,100%,0%,,,,
STMMW_02571,cgMLST,780,,,yafD,conserved hypothetical protein,402,3073,71,0,100%,2%,,,,
STMMW_02591,cgMLST,1368,,K08307,dniR,murein transglycosylase D,480,3144,0,0,100%,0%,,,,
STMMW_02601,cgMLST,756,3.1.2.6,K01069,gloB,hydroxyacylglutathione hydrolase,485,3140,4,0,100%,0%,,,,
STMMW_02611,cgMLST,723,,,yafS,SAM-dependent methyltransferase,441,3135,9,0,100%,0%,,,,
STMMW_02621,cgMLST,468,3.1.26.4,K03469,rnhA,"RNase HI, degrades RNA of DNA-RNA hybrids",249,3142,2,0,100%,0%,,,,
STMMW_02631,cgMLST,732,2.7.7.7,K02342,dnaQ,DNA polymerase III subunit epsilon,366,3142,2,0,100%,0%,,,,
STMMW_03171,cgMLST,720,,,pagN,outer membrane adhesin,424,3127,9,8,100%,0%,,,,
STMMW_03181,cgMLST,408,,,sciZ,VirG,212,3129,15,0,100%,0%,,,,
STMMW_03191,cgMLST,768,,,yafV,amidohydrolase,438,3142,1,1,100%,0%,,,,
STMMW_03201,cgMLST,2445,1.3.99.-,K06445,fadE,acyl-CoA dehydrogenase,930,3139,4,1,100%,0%,,,,
STMMW_03211,cgMLST,579,5.3.1.28,K03271,gmhA,phosphoheptose isomerase,254,3143,1,0,100%,0%,,,,
STMMW_03221,cgMLST,768,3.5.1.118,K07008,yafJ,class II glutamine amidotransferase,356,3137,7,0,100%,0%,,,,
STMMW_03231,cgMLST,741,,,yafK,transpeptidase,368,3141,3,0,100%,0%,,,,
STMMW_03241,cgMLST,1056,2.7.7.7,K02346,dbh,DNA polymerase IV,660,3115,26,3,100%,1%,,,,
STMMW_03271,cgMLST,1458,3.4.13.-,K01270,pepD,cytosol nonspecific dipeptidase,737,3138,4,2,100%,0%,,,,
STMMW_03281,cgMLST,459,2.4.2.22,K00769,gpt,xanthine phosphoribosyltransferase,155,3140,0,4,100%,0%,,,,
STMMW_03291,cgMLST,1245,3.1.-.-,K11750,frsA,esterase,658,3142,0,2,100%,0%,,,,
STMMW_03301,cgMLST,402,,K11926,crl,transcriptional regulator,144,3117,26,1,100%,1%,,,,
STMMW_03311,cgMLST,1053,,K11929,phoE,porin,612,3079,54,11,100%,2%,,,,
STMMW_03321,cgMLST,1104,2.7.2.11,K00931,proB,glutamate 5-kinase,546,3144,0,0,100%,0%,,,,
STMMW_03331,cgMLST,1251,1.2.1.41,K00147,proA,gamma-glutamyl-phosphate reductase,744,3144,0,0,100%,0%,,,,
STMMW_04261,cgMLST,1254,,K08178,,sialic acid transporter,659,3123,11,10,100%,0%,,,,
STMMW_04271,cgMLST,1959,2.1.1.72,K07316,mod,type III restriction-modification system StyLTI enzyme mod,817,3120,18,6,100%,1%,,,,
STMMW_04281,cgMLST,2973,3.1.21.5,K01156,res,Type III restriction-modification system StyLTI enzyme res,979,3023,117,4,100%,4%,,,,
STMMW_04291,cgMLST,102,,,,hypothetical protein,73,3128,14,2,100%,0%,,,,
STMMW_04301,cgMLST,1404,1.10.3.-,K00425,cydA,cytochrome D ubiquinol oxidase subunit I CydA,703,3137,4,3,100%,0%,,,,
STMMW_04351,cgMLST,633,,K03329,yahN,RhtC-like transporter,436,3128,13,3,100%,0%,,,,
STMMW_04361,cgMLST,276,,,yahO,Putative Periplasmic Protein,110,3140,0,4,100%,0%,,,,
STMMW_04371,cgMLST,1626,,K02688,prpR,propionate catabolism operon regulatory protein PrpR,836,2959,179,6,100%,6%,,,,
STMMW_04381,cgMLST,888,4.1.3.30,K03417,prpB,methylisocitrate lyase,594,3057,85,2,100%,3%,,,,
