V1,n_syn,n_nonsyn
STMMW_02231_1,595,1961
STMMW_02611_1,513,1656
STMMW_02521_1,521,1441
STMMW_02631_1,510,1686
STMMW_02381_1,685,2195
STMMW_02501_1,293,922
STMMW_02531_1,738,2358
STMMW_02321_1,725,2353
STMMW_02151_1,1026,3258
STMMW_02301_1,1627,5618
STMMW_02481_1,1217,3940
STMMW_02171_1,243,918
STMMW_02361_1,443,1348
STMMW_03181_1,280,944
STMMW_02341_1,572,1795
STMMW_02281_1,644,1930
STMMW_02131_1,518,1579
STMMW_03201_1,1809,5526
STMMW_02241_1,534,1644
STMMW_02181_1,987,2919
STMMW_02261_1,848,2743
STMMW_02461_1,316,953
STMMW_02441_1,154,503
STMMW_02201_1,1910,6109
STMMW_03211_1,392,1345
STMMW_02221_1,498,1680
STMMW_02191_1,592,1883
STMMW_02591_1,945,3159
STMMW_02451_1,374,1264
STMMW_02601_1,482,1786
STMMW_02621_1,299,1105
STMMW_02511_1,582,1866
STMMW_02141_1,1004,3550
STMMW_02532_1,373,1328
STMMW_02331_1,331,1037
STMMW_03171_1,488,1672
STMMW_02491_1,514,1610
STMMW_02311_1,325,1133
STMMW_03191_1,547,1757
STMMW_02121_1,568,1835
STMMW_02571_1,566,1774
STMMW_02371_1,2450,7999
STMMW_02291_1,992,3067
STMMW_04381_1,664,2000
STMMW_04541_1,213,750
STMMW_04481_1,233,694
STMMW_04411_1,1366,4295
STMMW_04561_1,592,1838
STMMW_04671_1,473,1597
STMMW_04391_1,826,2684
STMMW_03321_1,835,2477
STMMW_04301_1,1004,3208
STMMW_04651_1,2203,7220
STMMW_04461_1,790,2567
STMMW_04401_1,1038,3318
STMMW_04631_1,681,2046
STMMW_04611_1,196,659
STMMW_04281_1,1986,6933
STMMW_04361_1,184,644
STMMW_03231_1,467,1756
STMMW_03291_1,859,2876
STMMW_03271_1,1054,3320
STMMW_04591_1,130,446
STMMW_04691_1,1049,2911
STMMW_04421_1,685,2240
STMMW_04261_1,931,2831
STMMW_04531_1,172,629
STMMW_04511_1,516,1626
STMMW_04701_1,991,3122
STMMW_04571_1,334,1034
STMMW_04491_1,150,498
STMMW_04551_1,799,2540
STMMW_03331_1,924,2829
STMMW_04661_1,863,2746
STMMW_04451_1,812,2581
STMMW_03311_1,674,2485
STMMW_04641_1,881,2638
STMMW_04621_1,613,2123
STMMW_04291_1,62,244
STMMW_04351_1,480,1419
STMMW_04601_1,488,1546
STMMW_04441_1,412,1460
STMMW_04371_1,1213,3665
STMMW_04501_1,777,2508
STMMW_03281_1,321,1056
STMMW_04581_1,420,1218
STMMW_04471_1,768,2517
STMMW_04681_1,923,2965
STMMW_04271_1,1302,4575
STMMW_04521_1,906,2730
STMMW_03301_1,260,946
STMMW_03221_1,527,1777
STMMW_03241_1,755,2413
STMMW_05161_1,437,1462
STMMW_04711_1,1270,4184
STMMW_04811_1,216,828
STMMW_04731_1,397,1349
STMMW_05281_1,584,1873
STMMW_04831_1,537,2055
STMMW_05261_1,492,1596
STMMW_04851_1,299,1051
STMMW_05241_1,282,843
STMMW_04871_1,357,1056
STMMW_05221_1,212,607
STMMW_05201_1,910,2906
STMMW_05141_1,610,2261
STMMW_04941_1,166,563
STMMW_04921_1,1334,4255
STMMW_05031_1,443,1330
STMMW_05231_1,1263,4353
STMMW_05191_1,426,1446
STMMW_04901_1,345,1203
STMMW_05051_1,342,1188
STMMW_05311_1,1276,4043
STMMW_05331_1,246,771
STMMW_04881_1,299,961
STMMW_05131_1,1380,4596
STMMW_04741_1,775,2420
STMMW_05111_1,225,765
STMMW_04761_1,248,751
STMMW_05151_1,1142,3286
STMMW_04721_1,410,1399
STMMW_05291_1,738,2430
STMMW_05271_1,1225,3878
STMMW_04841_1,388,1232
STMMW_04781_1,725,2191
STMMW_04861_1,804,2508
STMMW_05211_1,1664,5401
STMMW_04951_1,998,3349
STMMW_04931_1,672,2028
STMMW_05041_1,634,2102
STMMW_05101_1,656,2017
STMMW_05181_1,904,2993
STMMW_04911_1,698,2227
STMMW_05061_1,1016,3034
STMMW_05301_1,321,1056
STMMW_05251_1,263,934
STMMW_05321_1,1332,4014
STMMW_05171_1,219,735
STMMW_05121_1,369,1179
STMMW_05341_1,1009,2852
STMMW_04751_1,752,2632
STMMW_04771_1,1369,4175
STMMW_05381_1,1114,3539
STMMW_05631_1,950,2713
STMMW_05611_1,902,3013
STMMW_06031_1,514,1655
STMMW_05791_1,746,2656
STMMW_06011_1,781,2423
STMMW_05651_1,358,1082
STMMW_05441_1,224,901
STMMW_05751_1,555,1758
STMMW_06051_1,922,3236
STMMW_05561_1,448,1370
STMMW_05481_1,2377,7712
STMMW_05541_1,1449,4338
STMMW_05711_1,641,2113
STMMW_06091_1,147,492
STMMW_05521_1,282,852
STMMW_05731_1,566,1774
STMMW_05461_1,894,2688
STMMW_05681_1,1888,5618
STMMW_05351_1,610,1973
STMMW_06101_1,659,1942
STMMW_05551_1,227,835
STMMW_05371_1,302,868
STMMW_06121_1,395,1207
STMMW_05581_1,464,1471
STMMW_05471_1,448,1514
STMMW_05621_1,1333,3698
STMMW_05451_1,2297,7153
STMMW_05601_1,675,2241
STMMW_05401_1,93,330
STMMW_06021_1,384,1146
STMMW_05771_1,534,1527
STMMW_05781_1,1818,5427
STMMW_05431_1,140,517
STMMW_05571_1,1280,4417
STMMW_05741_1,597,1968
STMMW_05411_1,316,1097
STMMW_06041_1,316,1169
STMMW_05761_1,416,1429
STMMW_05531_1,406,1250
STMMW_05701_1,336,1023
STMMW_05721_1,470,1564
STMMW_05691_1,279,972
STMMW_05591_1,710,2179
STMMW_05501_1,117,387
STMMW_05361_1,446,1264
STMMW_06131_1,500,1579
STMMW_06841_1,683,2008
STMMW_06151_1,720,2304
STMMW_06431_1,454,1508
STMMW_06171_1,431,1468
STMMW_06691_1,420,1434
STMMW_06581_1,1023,2712
STMMW_06721_1,493,1748
STMMW_06701_1,786,2922
STMMW_06541_1,786,2625
STMMW_06561_1,798,2172
STMMW_06741_1,1139,3559
STMMW_06351_1,1417,4496
STMMW_06501_1,1548,5220
STMMW_06331_1,1032,3153
STMMW_06521_1,131,526
STMMW_06831_1,1089,3303
STMMW_06641_1,309,933
STMMW_06311_1,414,1269
STMMW_06811_1,300,933
STMMW_06481_1,771,2586
STMMW_06291_1,975,3003
STMMW_06461_1,227,799
STMMW_06601_1,883,2645
STMMW_06141_1,1855,5984
STMMW_06441_1,248,859
STMMW_06621_1,597,1977
STMMW_06161_1,386,1171
STMMW_06181_1,505,1664
STMMW_06681_1,842,2641
STMMW_06591_1,727,2144
STMMW_06731_1,382,1310
STMMW_06551_1,601,1784
STMMW_06341_1,882,2862
STMMW_06571_1,841,2183
STMMW_06321_1,779,2749
STMMW_06511_1,878,2767
STMMW_06301_1,178,533
STMMW_06651_1,1599,4719
STMMW_06821_1,555,1866
STMMW_06531_1,2876,8779
STMMW_06791_1,305,982
STMMW_06671_1,827,2440
STMMW_06801_1,877,2840
STMMW_06472_1,184,563
STMMW_06611_1,1181,3652
STMMW_06861_1,1147,3443
STMMW_06281_1,655,1910
STMMW_06451_1,397,1349
STMMW_07401_1,882,2781
STMMW_07021_1,832,2804
STMMW_07361_1,868,2660
STMMW_07281_1,507,1518
STMMW_06991_1,659,2203
STMMW_07321_1,565,2072
STMMW_07131_1,1762,5987
STMMW_07301_1,622,2159
STMMW_07511_1,291,1068
STMMW_06911_1,481,1562
STMMW_07551_1,367,1262
STMMW_06931_1,368,1351
STMMW_07571_1,319,1139
STMMW_06891_1,759,2472
STMMW_07381_1,1120,3875
STMMW_07451_1,899,3322
STMMW_06951_1,287,865
STMMW_07001_1,399,1329
STMMW_07491_1,1029,3183
STMMW_07061_1,332,1072
STMMW_06871_1,694,2033
STMMW_07461_1,211,788
STMMW_07181_1,304,1118
STMMW_07111_1,761,2335
STMMW_07411_1,834,2631
STMMW_07351_1,986,3289
STMMW_07471_1,982,2933
STMMW_06981_1,674,2224
STMMW_07291_1,551,1672
STMMW_07031_1,878,2560
STMMW_07101_1,456,1470
STMMW_07311_1,1144,3473
STMMW_07041_1,821,2518
STMMW_07441_1,1123,3881
STMMW_07501_1,695,2086
STMMW_06901_1,1161,3825
STMMW_07521_1,345,1248
STMMW_06921_1,946,2816
STMMW_07051_1,1332,4374
STMMW_07391_1,544,1715
STMMW_07561_1,1164,3624
STMMW_06881_1,220,671
STMMW_06961_1,599,1768
STMMW_07121_1,437,1336
STMMW_07481_1,849,2571
STMMW_07261_1,696,2112
STMMW_07011_1,182,610
STMMW_07071_1,211,743
STMMW_07421_1,549,1854
STMMW_07431_1,1472,4387
STMMW_08121_1,734,2425
STMMW_08351_1,778,2399
STMMW_08101_1,698,2119
STMMW_07611_1,2021,6034
STMMW_08371_1,712,2276
STMMW_08311_1,578,1789
STMMW_07861_1,749,2140
STMMW_08081_1,733,2399
STMMW_07651_1,133,488
STMMW_07671_1,1095,3351
STMMW_08271_1,719,2422
STMMW_08251_1,748,2375
STMMW_08061_1,361,1214
STMMW_07941_1,903,2724
STMMW_08391_1,893,2779
STMMW_07711_1,542,1663
STMMW_07961_1,649,1961
STMMW_07591_1,1511,5086
STMMW_07901_1,263,781
STMMW_07921_1,477,1683
STMMW_07681_1,532,1700
STMMW_07981_1,828,2592
STMMW_08341_1,569,1501
STMMW_07601_1,505,1529
STMMW_08111_1,254,907
STMMW_07621_1,466,1289
STMMW_08091_1,505,1655
STMMW_07642_1,72,198
STMMW_07641_1,1284,3756
STMMW_08321_1,175,581
STMMW_07871_1,888,2964
STMMW_07661_1,987,3279
STMMW_07851_1,580,1796
STMMW_08051_1,958,2921
STMMW_08261_1,822,2625
STMMW_08071_1,526,1841
STMMW_07951_1,857,2644
STMMW_08381_1,929,2923
STMMW_08241_1,510,1749
STMMW_07891_1,289,881
STMMW_08011_1,279,936
STMMW_07971_1,1114,3593
STMMW_07701_1,688,2111
STMMW_08031_1,310,977
STMMW_07581_1,969,2991
STMMW_07931_1,1951,6455
STMMW_08331_1,564,1758
STMMW_07691_1,500,1471
STMMW_07991_1,79,263
STMMW_08281_1,702,2349
STMMW_08801_1,495,1485
STMMW_08651_1,543,1734
STMMW_08821_1,344,1168
STMMW_08591_1,519,1596
STMMW_08781_1,1649,5020
STMMW_08571_1,193,563
STMMW_08551_1,370,1169
STMMW_08881_1,672,2091
STMMW_08531_1,687,2040
STMMW_09001_1,1054,3563
STMMW_08701_1,723,2265
STMMW_08931_1,529,1901
STMMW_08721_1,1023,3072
STMMW_08681_1,831,2562
STMMW_08971_1,936,2790
STMMW_08761_1,177,624
STMMW_08401_1,686,2140
STMMW_08951_1,639,2061
STMMW_08421_1,1213,3845
STMMW_08441_1,333,1098
STMMW_08871_1,858,2481
STMMW_08461_1,715,2408
STMMW_08811_1,511,1730
STMMW_08661_1,318,915
STMMW_08481_1,541,1727
STMMW_08831_1,728,1936
STMMW_08641_1,867,2859
STMMW_08581_1,320,1039
STMMW_08561_1,350,1108
STMMW_08841_1,361,1187
STMMW_08991_1,1398,4218
STMMW_08791_1,515,1654
STMMW_08541_1,685,2285
STMMW_08501_1,1457,4609
STMMW_09011_1,690,2073
STMMW_08711_1,472,1553
STMMW_08731_1,1456,4682
STMMW_08691_1,1253,3958
STMMW_08961_1,549,1701
STMMW_08751_1,199,584
STMMW_08941_1,1726,5573
STMMW_08411_1,491,1543
STMMW_08771_1,642,2139
STMMW_08431_1,1166,3397
STMMW_08631_1,730,2159
STMMW_08451_1,917,2953
STMMW_08471_1,875,2599
STMMW_08861_1,330,1092
STMMW_08671_1,806,2515
STMMW_08491_1,534,1527
STMMW_09521_1,1237,3740
STMMW_09291_1,806,2596
STMMW_09191_1,951,2685
STMMW_09501_1,1178,3781
STMMW_09561_1,146,520
STMMW_09041_1,268,884
STMMW_09231_1,166,626
STMMW_09541_1,815,2542
STMMW_09681_1,1333,3833
STMMW_09211_1,1258,3800
STMMW_09271_1,314,1117
STMMW_09491_1,695,2221
STMMW_09641_1,685,2051
STMMW_09391_1,538,1613
STMMW_09021_1,685,2051
STMMW_09251_1,475,1505
STMMW_09621_1,471,1563
STMMW_09351_1,197,766
STMMW_09161_1,425,1402
STMMW_09371_1,491,1705
STMMW_09141_1,841,2768
STMMW_09311_1,657,1881
STMMW_09431_1,232,740
STMMW_09451_1,704,2338
STMMW_09471_1,746,2215
STMMW_09531_1,649,2258
STMMW_09281_1,765,2574
STMMW_09511_1,601,1775
STMMW_09571_1,200,763
STMMW_09221_1,266,868
STMMW_09261_1,699,2010
STMMW_09481_1,1225,3932
STMMW_09671_1,507,1608
STMMW_09241_1,219,654
STMMW_09381_1,515,1492
STMMW_09031_1,920,3058
STMMW_09631_1,618,1965
STMMW_09171_1,948,2751
STMMW_09341_1,948,3084
STMMW_09401_1,494,1702
STMMW_09151_1,527,1750
STMMW_09361_1,964,3500
STMMW_09421_1,362,1186
STMMW_09131_1,441,1440
STMMW_09301_1,709,2153
STMMW_09441_1,600,1893
STMMW_09321_1,350,1072
STMMW_09461_1,1056,3246
STMMW_09741_1,967,3065
STMMW_09991_1,547,1694
STMMW_10061_1,1323,4203
STMMW_09971_1,865,2834
STMMW_10041_1,485,1630
STMMW_09951_1,1257,3990
STMMW_10001_1,624,2058
STMMW_09931_1,196,659
STMMW_09911_1,511,1541
STMMW_10101_1,723,2553
STMMW_10811_1,1108,3653
STMMW_10781_1,378,1314
STMMW_09881_1,750,2517
STMMW_09761_1,1678,5657
STMMW_09841_1,1575,5274
STMMW_10721_1,350,1279
STMMW_10091_1,845,2728
STMMW_09861_1,1218,4065
STMMW_09711_1,357,1128
STMMW_10071_1,396,1251
STMMW_09731_1,390,1455
STMMW_10761_1,884,2878
STMMW_09751_1,911,2968
STMMW_10031_1,902,3067
STMMW_10741_1,1480,4847
STMMW_10011_1,582,1749
STMMW_09981_1,118,431
STMMW_09791_1,837,2610
STMMW_09961_1,764,2170
STMMW_10701_1,1786,6053
STMMW_10051_1,3141,10260
STMMW_09941_1,1618,5177
STMMW_09921_1,1200,3822
STMMW_09691_1,1312,3989
STMMW_10151_1,827,2782
STMMW_10821_1,286,1073
STMMW_10111_1,999,3204
STMMW_10801_1,369,1188
STMMW_10791_1,111,393
STMMW_09891_1,948,2904
STMMW_10731_1,802,2528
STMMW_10081_1,449,1495
STMMW_09851_1,604,1970
STMMW_10711_1,722,2311
STMMW_10751_1,1313,4411
STMMW_10021_1,558,1854
STMMW_09871_1,487,1592
STMMW_09701_1,701,2206
STMMW_10771_1,1143,3780
STMMW_09811_1,532,1943
STMMW_10921_1,219,735
STMMW_11331_1,2965,8924
STMMW_11311_1,465,1452
STMMW_11101_1,305,1018
STMMW_11161_1,601,1775
STMMW_11291_1,442,1349
STMMW_11121_1,1070,3331
STMMW_10981_1,463,1274
STMMW_11461_1,375,1083
STMMW_11141_1,249,894
STMMW_11441_1,508,1706
STMMW_11181_1,620,2071
STMMW_10831_1,769,2390
STMMW_11211_1,224,694
STMMW_11021_1,224,802
STMMW_10871_1,340,1001
STMMW_11251_1,441,1431
STMMW_10851_1,403,1415
STMMW_11061_1,544,1697
STMMW_11271_1,871,2855
STMMW_10891_1,323,1054
STMMW_10971_1,222,768
STMMW_11081_1,361,1178
STMMW_10911_1,310,941
STMMW_11341_1,1109,3418
STMMW_10931_1,852,2784
STMMW_11321_1,272,916
STMMW_11301_1,108,396
STMMW_11111_1,937,2933
STMMW_11471_1,523,1718
STMMW_11281_1,140,544
STMMW_11131_1,552,2004
STMMW_11451_1,387,1278
STMMW_11151_1,581,1831
STMMW_11431_1,661,2156
STMMW_11171_1,971,3160
STMMW_11191_1,664,2090
STMMW_11031_1,1110,3948
STMMW_11201_1,230,859
STMMW_10861_1,1574,4888
STMMW_11221_1,626,2137
STMMW_10841_1,360,1170
STMMW_11071_1,280,953
STMMW_11240_1,290,799
STMMW_11241_1,1420,4241
STMMW_11261_1,391,1130
STMMW_10881_1,1410,4755
STMMW_11091_1,1036,3653
STMMW_10961_1,198,648
STMMW_10901_1,490,1499
STMMW_11521_1,324,1044
STMMW_11831_1,293,922
STMMW_11781_1,1186,3539
STMMW_11641_1,677,2482
STMMW_11811_1,490,1490
STMMW_11481_1,280,971
STMMW_11661_1,410,1309
STMMW_11871_1,560,1789
STMMW_11601_1,160,524
STMMW_11851_1,870,2766
STMMW_11621_1,939,2706
STMMW_11981_1,429,1326
STMMW_11681_1,793,2564
STMMW_11901_1,652,2201
STMMW_11591_1,1827,5805
STMMW_11731_1,437,1507
STMMW_12001_1,128,394
STMMW_11921_1,654,2208
STMMW_11711_1,753,2388
STMMW_12021_1,710,2152
STMMW_11881_1,500,1597
STMMW_11771_1,676,2096
STMMW_11571_1,808,2657
STMMW_11751_1,391,1364
STMMW_11511_1,306,1062
STMMW_11651_1,391,1337
STMMW_11821_1,293,958
STMMW_11531_1,233,748
STMMW_11791_1,285,984
STMMW_11491_1,256,932
STMMW_11671_1,71,271
STMMW_11801_1,193,689
STMMW_11611_1,219,906
STMMW_11861_1,576,1692
STMMW_11631_1,616,2147
STMMW_11841_1,528,1569
STMMW_11991_1,360,1206
STMMW_11691_1,163,602
STMMW_11581_1,1012,3596
STMMW_11721_1,379,1304
STMMW_11911_1,1152,3834
STMMW_12011_1,815,2425
STMMW_11541_1,224,739
STMMW_11891_1,833,2461
STMMW_11761_1,470,1474
STMMW_12031_1,691,2099
STMMW_11741_1,879,2748
STMMW_11501_1,412,1541
STMMW_12071_1,564,1866
STMMW_12351_1,769,2642
STMMW_12111_1,570,1824
STMMW_12581_1,308,1096
STMMW_12391_1,751,2615
STMMW_12151_1,292,833
STMMW_12621_1,1125,3780
STMMW_12451_1,305,1081
STMMW_12601_1,362,1231
STMMW_12291_1,670,2066
STMMW_12271_1,507,1599
STMMW_12641_1,619,1820
STMMW_12441_1,760,2561
STMMW_12251_1,2467,7874
STMMW_12061_1,874,2744
STMMW_12231_1,193,581
STMMW_12211_1,393,1227
STMMW_12551_1,318,1095
STMMW_12531_1,154,485
STMMW_12541_1,167,625
STMMW_12041_1,539,1666
STMMW_12081_1,667,2204
STMMW_12181_1,728,2350
STMMW_12401_1,1010,3382
STMMW_12301_1,561,1905
STMMW_12321_1,585,1755
STMMW_12091_1,488,1438
STMMW_12411_1,466,1559
STMMW_12121_1,1077,3225
STMMW_12591_1,725,2407
STMMW_12101_1,749,2266
STMMW_12511_1,150,570
STMMW_12631_1,732,2193
STMMW_12141_1,254,826
STMMW_12281_1,887,2848
STMMW_12611_1,235,710
STMMW_12261_1,955,2978
STMMW_12421_1,955,3158
STMMW_12431_1,493,1451
STMMW_12651_1,565,1829
STMMW_12171_1,595,1880
STMMW_12201_1,954,2961
STMMW_12561_1,219,816
STMMW_12562_1,69,309
STMMW_12221_1,439,1469
STMMW_12161_1,455,1462
STMMW_12521_1,360,1206
STMMW_12051_1,155,556
STMMW_12311_1,693,2448
STMMW_13061_1,951,3081
STMMW_12661_1,435,1338
STMMW_13081_1,303,948
STMMW_12681_1,181,800
STMMW_12801_1,124,434
STMMW_13181_1,230,796
STMMW_12821_1,173,583
STMMW_13161_1,648,2079
STMMW_12841_1,239,805
STMMW_13141_1,732,2175
STMMW_12861_1,558,1827
STMMW_12862_1,378,963
STMMW_13121_1,1128,3309
STMMW_12881_1,393,1164
STMMW_13101_1,901,2780
STMMW_12781_1,126,423
STMMW_12921_1,501,1740
STMMW_12901_1,850,3011
STMMW_12761_1,496,1421
STMMW_13011_1,741,2310
STMMW_12701_1,582,1785
STMMW_13031_1,393,1263
STMMW_12721_1,569,1978
STMMW_13051_1,1401,4449
STMMW_13091_1,536,1885
STMMW_12691_1,406,1538
STMMW_12811_1,173,574
STMMW_13191_1,228,735
STMMW_12831_1,233,703
STMMW_13171_1,576,1908
STMMW_12851_1,968,2587
STMMW_13151_1,310,1148
STMMW_13131_1,983,3049
STMMW_12671_1,797,2605
STMMW_13111_1,742,2363
STMMW_12791_1,463,1463
STMMW_12931_1,791,2800
STMMW_12911_1,1288,4517
STMMW_12971_1,724,2264
STMMW_12981_1,286,1046
STMMW_12771_1,240,849
STMMW_12951_1,619,2036
STMMW_12711_1,402,1380
STMMW_13001_1,439,1532
STMMW_12731_1,159,588
STMMW_13021_1,1331,4240
STMMW_12991_1,172,665
STMMW_13041_1,772,2360
STMMW_13201_1,1012,3065
STMMW_13211_1,229,815
STMMW_13881_1,2216,6973
STMMW_13741_1,989,3052
STMMW_13531_1,134,442
STMMW_13241_1,528,1749
STMMW_13761_1,998,3466
STMMW_13511_1,481,1661
STMMW_13701_1,871,2486
STMMW_13491_1,551,1699
STMMW_13721_1,305,928
STMMW_13801_1,275,976
STMMW_13451_1,1733,5431
STMMW_13271_1,1094,3082
STMMW_13781_1,876,2940
STMMW_13311_1,598,1985
STMMW_13331_1,705,2094
STMMW_13431_1,258,813
STMMW_13291_1,506,1501
STMMW_13261_1,162,567
STMMW_13351_1,668,2212
STMMW_13551_1,583,1919
STMMW_13371_1,594,1917
STMMW_13891_1,761,2308
STMMW_13251_1,1585,5174
STMMW_13521_1,998,3331
STMMW_13751_1,246,861
STMMW_13501_1,325,1070
STMMW_13771_1,522,1719
STMMW_13441_1,696,2256
STMMW_13711_1,2206,6965
STMMW_13541_1,727,2414
STMMW_13811_1,757,2249
STMMW_13481_1,364,1292
STMMW_13731_1,130,437
STMMW_13831_1,981,3096
STMMW_13471_1,799,2171
STMMW_13301_1,360,1251
STMMW_13651_1,552,1725
STMMW_13461_1,208,692
STMMW_13791_1,895,2768
STMMW_13321_1,194,679
STMMW_13401_1,1246,4541
STMMW_13231_1,917,3151
STMMW_13341_1,532,1745
STMMW_13421_1,146,448
STMMW_13281_1,417,1383
STMMW_13561_1,1667,5470
STMMW_13411_1,276,1029
STMMW_13221_1,494,1801
STMMW_14251_1,182,619
STMMW_14121_1,161,523
STMMW_14021_1,195,786
STMMW_14141_1,476,1774
STMMW_14001_1,804,2832
STMMW_14161_1,430,1595
STMMW_14261_1,517,1823
STMMW_14181_1,236,871
STMMW_13981_1,271,935
STMMW_14391_1,815,2479
STMMW_14271_1,704,2473
STMMW_14361_1,230,814
STMMW_14332_1,74,196
STMMW_14341_1,404,1342
STMMW_14311_1,933,2685
STMMW_14371_1,451,1493
STMMW_13971_1,1891,6398
STMMW_14091_1,579,1770
STMMW_13951_1,533,1654
STMMW_14281_1,1041,3081
STMMW_14111_1,120,528
STMMW_14071_1,283,968
STMMW_13931_1,151,488
STMMW_14201_1,963,2943
STMMW_14131_1,159,588
STMMW_14051_1,936,3429
STMMW_13911_1,1317,4020
STMMW_14151_1,372,1275
STMMW_14031_1,362,1411
STMMW_14331_1,721,2357
STMMW_14171_1,669,2382
STMMW_14191_1,1461,4677
STMMW_13991_1,1029,3453
STMMW_14241_1,472,1472
STMMW_14381_1,283,941
STMMW_14221_1,234,891
STMMW_14321_1,664,2135
STMMW_14231_1,663,2244
STMMW_14301_1,739,2708
STMMW_13961_1,408,1509
STMMW_14081_1,263,1042
STMMW_13941_1,690,2190
STMMW_14061_1,430,1334
STMMW_13921_1,452,1411
STMMW_14291_1,455,1471
STMMW_14101_1,482,1588
STMMW_14041_1,309,1113
STMMW_13901_1,530,1729
STMMW_14491_1,839,2527
